*{"timestamp": "08:00:00", "x": 114.42, "y": 554.42}
*{"timestamp": "08:01:00", "x": 114.26, "y": 553.81}
*{"timestamp": "08:02:00", "x": 114.09, "y": 553.20}
*{"timestamp": "08:03:00", "x": 113.92, "y": 552.59}
*{"timestamp": "08:04:00", "x": 113.76, "y": 552.01}
*{"timestamp": "08:05:00", "x": 113.60, "y": 551.41}
*{"timestamp": "08:06:00", "x": 113.44, "y": 550.81}
*{"timestamp": "08:07:00", "x": 113.27, "y": 550.21}
*{"timestamp": "08:08:00", "x": 113.10, "y": 549.59}
*{"timestamp": "08:09:00", "x": 112.93, "y": 548.97}
*{"timestamp": "08:10:00", "x": 112.76, "y": 548.35}
*{"timestamp": "08:11:00", "x": 112.60, "y": 547.75}
*{"timestamp": "08:12:00", "x": 112.43, "y": 547.14}
*{"timestamp": "08:13:00", "x": 112.26, "y": 546.53}
*{"timestamp": "08:14:00", "x": 112.09, "y": 545.92}
*{"timestamp": "08:15:00", "x": 111.93, "y": 545.30}
*{"timestamp": "08:16:00", "x": 111.75, "y": 544.67}
*{"timestamp": "08:17:00", "x": 111.58, "y": 544.04}
*{"timestamp": "08:18:00", "x": 111.41, "y": 543.40}
*{"timestamp": "08:19:00", "x": 111.23, "y": 542.75}
*{"timestamp": "08:20:00", "x": 111.05, "y": 542.10}
*{"timestamp": "08:21:00", "x": 110.87, "y": 541.44}
*{"timestamp": "08:22:00", "x": 110.69, "y": 540.78}
*{"timestamp": "08:23:00", "x": 110.51, "y": 540.11}
*{"timestamp": "08:24:00", "x": 110.32, "y": 539.43}
*{"timestamp": "08:25:00", "x": 110.13, "y": 538.75}
*{"timestamp": "08:26:00", "x": 109.95, "y": 538.06}
*{"timestamp": "08:27:00", "x": 109.76, "y": 537.36}
*{"timestamp": "08:28:00", "x": 109.56, "y": 536.65}
*{"timestamp": "08:29:00", "x": 109.34, "y": 535.83}
*{"timestamp": "08:30:00", "x": 109.11, "y": 534.99}
*{"timestamp": "08:31:00", "x": 108.88, "y": 534.14}
*{"timestamp": "08:32:00", "x": 108.65, "y": 533.30}
*{"timestamp": "08:33:00", "x": 108.42, "y": 532.45}
*{"timestamp": "08:34:00", "x": 108.19, "y": 531.59}
*{"timestamp": "08:35:00", "x": 107.95, "y": 530.72}
*{"timestamp": "08:36:00", "x": 107.72, "y": 529.87}
*{"timestamp": "08:37:00", "x": 107.49, "y": 529.01}
*{"timestamp": "08:38:00", "x": 107.26, "y": 528.15}
*{"timestamp": "08:39:00", "x": 107.02, "y": 527.29}
*{"timestamp": "08:40:00", "x": 106.79, "y": 526.42}
*{"timestamp": "08:41:00", "x": 106.55, "y": 525.54}
*{"timestamp": "08:42:00", "x": 106.31, "y": 524.66}
*{"timestamp": "08:43:00", "x": 106.08, "y": 523.77}
*{"timestamp": "08:44:00", "x": 105.84, "y": 522.87}
*{"timestamp": "08:45:00", "x": 105.59, "y": 521.97}
*{"timestamp": "08:46:00", "x": 105.35, "y": 521.05}
*{"timestamp": "08:47:00", "x": 105.11, "y": 520.14}
*{"timestamp": "08:48:00", "x": 104.87, "y": 519.22}
*{"timestamp": "08:49:00", "x": 104.62, "y": 518.30}
*{"timestamp": "08:50:00", "x": 104.38, "y": 517.37}
*{"timestamp": "08:51:00", "x": 104.14, "y": 516.44}
*{"timestamp": "08:52:00", "x": 103.89, "y": 515.51}
*{"timestamp": "08:53:00", "x": 103.65, "y": 514.57}
*{"timestamp": "08:54:00", "x": 103.41, "y": 513.63}
*{"timestamp": "08:55:00", "x": 103.17, "y": 512.69}
*{"timestamp": "08:56:00", "x": 102.92, "y": 511.73}
*{"timestamp": "08:57:00", "x": 102.68, "y": 510.76}
*{"timestamp": "08:58:00", "x": 102.42, "y": 509.73}
*{"timestamp": "08:59:00", "x": 102.16, "y": 508.67}
*{"timestamp": "09:00:00", "x": 101.07, "y": 504.45}
*{"timestamp": "09:01:00", "x": 100.82, "y": 503.42}
*{"timestamp": "09:02:00", "x": 100.59, "y": 502.40}
*{"timestamp": "09:03:00", "x": 100.36, "y": 501.39}
*{"timestamp": "09:04:00", "x": 100.13, "y": 500.39}
*{"timestamp": "09:05:00", "x": 99.92, "y": 499.38}
*{"timestamp": "09:06:00", "x": 99.70, "y": 498.36}
*{"timestamp": "09:07:00", "x": 99.50, "y": 497.34}
*{"timestamp": "09:08:00", "x": 99.30, "y": 496.32}
*{"timestamp": "09:09:00", "x": 99.11, "y": 495.32}
*{"timestamp": "09:10:00", "x": 98.94, "y": 494.34}
*{"timestamp": "09:11:00", "x": 98.79, "y": 493.39}
*{"timestamp": "09:12:00", "x": 98.65, "y": 492.46}
*{"timestamp": "09:13:00", "x": 98.53, "y": 491.54}
*{"timestamp": "09:14:00", "x": 98.44, "y": 490.65}
*{"timestamp": "09:15:00", "x": 98.36, "y": 489.79}
*{"timestamp": "09:16:00", "x": 98.31, "y": 488.95}
*{"timestamp": "09:17:00", "x": 98.29, "y": 488.14}
*{"timestamp": "09:18:00", "x": 98.30, "y": 487.37}
*{"timestamp": "09:19:00", "x": 98.35, "y": 486.64}
*{"timestamp": "09:20:00", "x": 98.44, "y": 485.95}
*{"timestamp": "09:21:00", "x": 98.57, "y": 485.32}
*{"timestamp": "09:22:00", "x": 98.75, "y": 484.74}
*{"timestamp": "09:23:00", "x": 98.99, "y": 484.23}
*{"timestamp": "09:24:00", "x": 99.30, "y": 483.80}
*{"timestamp": "09:25:00", "x": 99.69, "y": 483.44}
*{"timestamp": "09:26:00", "x": 100.16, "y": 483.19}
*{"timestamp": "09:27:00", "x": 100.73, "y": 483.05}
